剧情ID,剧情类型,标题,正文,选项1,选项1判定属性,选项1门槛,选项1成功文案,选项1成功效果,选项1失败文案,选项1失败效果,选项2,选项2判定属性,选项2门槛,选项2成功文案,选项2成功效果,选项2失败文案,选项2失败效果,是否侍寝
2105,机遇,夏日赏冰,内务府送来了极其罕见的西域冰果。,分给其他嫔妃,声望,85,你的谦逊赢得了全宫的赞誉。,"声望+40;心机+10",别人吃了闹肚子，全赖在你头上。,"声望-50",亲自喂给皇上,容貌,90,皇上吃得开心，今夜留宿。,"圣宠+70;容貌+15",皇上嫌冰得牙疼，败兴。,"圣宠-20",1
2106,日常,刺绣屏风,你要绣一副巨型的万里江山图。,昼夜不分赶工,体质,85,屏风气势宏大，皇上将其置于金銮殿。,"声望+50;圣宠+40",你累得眼睛酸涩，看东西模糊。,"容貌-20;体质-30",加入家乡绣法,才情,90,皇上赞叹绣法独到，别具一格。,"才情+40;圣宠+30",主子嫌你破坏了规矩。,"声望-20",0
2107,博弈,御膳夺爱,皇上赏赐的一道名菜，被路过的贵妃强行带走。,委屈隐忍不言,心机,85,皇上知道后，觉得你懂事，加倍补偿。,"圣宠+60;心机+20",你被认为软弱，从此待遇更差。,"声望-30",当面据理力争,声望,90,你保住了尊严，但也彻底得罪了贵妃。,"声望+40",贵妃当众掌嘴你二十。,"体质-20;容貌-10",0
2108,死局,鸩酒疑云,皇上命你给落马的重臣之女（你的好友）送去毒酒。,偷偷换成假死药,心机,90,你救了好友且未被发现，成就一段义举。,"心机+80;声望+50",药效过慢被发现，你被灭口。,"死亡",硬着头皮送去,声望,90,你完成了任务，但内心永远难安。,"声望+20;心机-30",你被对方拼死反击，同归于尽。,"死亡",0
2109,日常,御花园观鱼,你在池边喂鱼，皇上突然从身后抱住你。,惊喜转头迎接,容貌,90,你的笑靥让皇上心驰神往。,"圣宠+70;容貌+20",你吓得把鱼食洒了皇上一脸。,"圣宠-40",反手推开惊叫,体质,75,皇上觉得你真实可爱，毫不做作。,"圣宠+30",皇上觉得你冲撞圣躬。,"圣宠-20",1
2110,机遇,皇帝噩梦,皇上在梦中大喊“杀贼”，醒来时情绪失控。,紧紧抱住他安慰,容貌,95,你成了帝王软弱时唯一的港湾。,"圣宠+120;容貌+20",皇上在混乱中掐住了你的脖子。,"死亡",跪在床头读佛经,才情,90,皇上逐渐在经声中平静下来。,"才情+40;圣宠+50",皇上嫌你吵闹，让你滚。,"圣宠-30",1
2111,日常,研磨香料,你尝试调配一种能让人身心愉悦的熏香。,加入珍贵沉香,心机,85,皇上在你宫里总能睡得极好，天天来。,"圣宠+80;心机+20",香料过重，皇上闻了头晕。,"圣宠-30",送给太后助眠,声望,80,太后对你大加赞赏，成了你的靠山。,"声望+50;心机+20",太后觉得你在香里下药害她。,"死亡",0
2112,博弈,降位危机,你被指控在宫宴上使用了逾制的外袍。,指认内务府送错,心机,90,你成功摆脱嫌疑，内务府管事成了替罪羊。,"心机+40;声望+20",管事拿出你的贿赂证据。,"死亡",直接跪地认错,声望,85,皇上见你态度诚恳，免了处罚。,"圣宠+10;声望-10",皇上大怒，降你为宫女。,"死亡",0
2113,机遇,春日蹴鞠,后宫举办蹴鞠大赛，皇上在台下观看。,展示惊人球技,体质,90,你矫健的身姿让皇上赞不绝口。,"圣宠+60;体质+20",你摔了个狗啃泥，全宫大笑。,"声望-40;容貌-10",在场边加油鼓劲,容貌,80,你美得像一幅画，皇上只顾着看你。,"圣宠+40;容貌+10",皇上觉得你没参与感。,"声望-10",0
2114,日常,修补孤本,皇上心爱的古籍散架了，没人敢动。,用祖传技法修补,才情,95,皇上大喜，称你为“兰心蕙质”。,"才情+50;圣宠+60",你不小心弄丢了一页。,"死亡",建议皇上重新誊抄,心机,75,皇上觉得你有自知之明。,"心机+15",皇上觉得你懒惰不肯出力。,"圣宠-20",0
2115,博弈,嫔妃投毒,你发现你的茶杯边沿有淡淡的苦味。,将计就计喝下装死,心机,95,皇上震怒下令严查，凶手伏法。,"圣宠+100;心机+40",你药量没算准，真的中毒太深。,"死亡",立刻打碎茶杯反击,声望,85,你保护了自己，但没抓到真凶。,"声望+20",你被指责在御前失仪，毁坏御赐之物。,"圣宠-30",0
2116,日常,宫中礼仪,太后突击检查各位小主的行走坐卧。,展示最标准的步伐,声望,90,太后赞你有名门风范，赏了金钗。,"声望+40;容貌+10",你太紧张左脚踩右脚。,"声望-20",亲手奉上养生茶,心机,80,太后被你哄得很开心。,"心机+25;声望+20",太后觉得你在谄媚。,"声望-15",0
2117,机遇,皇帝出巡,皇上准备去江南巡游，名单上没有你。,深夜潜入龙舟祈求,容貌,95,皇上被你的痴情打动，带你上船。,"圣宠+100;体质-20",你被侍卫当成刺客抓获。,"死亡",送上亲制的江南图,才情,90,皇上见图思人，补加了你的名字。,"才情+40;圣宠+50",皇上觉得你多此一举。,"声望-20",1
2118,死局,巫蛊咒物,你在对手床底发现了她诅咒皇后的木偶。,直接向皇上告发,声望,90,你成功铲除了劲敌，获得赏赐。,"声望+60;圣宠+40",由于证据不足，你被反咬一口。,"死亡",偷偷拿走自己藏起来,心机,90,你掌握了对方一辈子的死穴。,"心机+80",你被对手的眼线当场抓住。,"死亡",0
2119,日常,种植牡丹,你在园中培育出一朵罕见的蓝色牡丹。,献给太后寿辰,声望,95,太后大喜，直接封你为贵人。,"声望+100;圣宠+50",花在寿宴上突然枯萎。,"死亡",请皇上共同赏花,容貌,85,皇上觉得花美，人更美。,"圣宠+50;容貌+10",皇上对花粉过敏。,"圣宠-50",1
2120,机遇,边疆捷报,皇上因前方大胜心情极好，在御花园设宴。,即兴创作祝捷诗,才情,95,皇上引为奇才，当众赏赐你。,"才情+50;圣宠+80",你诗中用词不当，被指影射战亡将领。,"死亡",频频举杯贺皇上,体质,85,皇上觉得你与他同喜，非常痛快。,"圣宠+50;体质-20",你喝醉了，御前失仪。,"圣宠-30",1
2121,博弈,位分僭越,一个贵人用了本该属于嫔位的明黄色丝绸。,当众指出其错误,声望,90,你维护了宫廷法度，受皇后赞赏。,"声望+50;心机+10",对方家世显赫，反让你下不来台。,"声望-40",私下提醒她换掉,心机,85,她对你感激涕零，成了你的盟友。,"心机+30;声望+20",她觉得你在威胁她，怀恨在心。,"心机-20",0
2122,日常,整理内务,你在整理旧物时发现了一张不知名的遗诏。,交给皇上处置,心机,90,你立下救驾奇功。,"圣宠+150;心机+50",你被皇上灭口。,"死亡",立刻烧掉装不知道,声望,90,你躲过了一劫。,"心机+40",纸灰被发现，你被审问。,"死亡",0
2123,机遇,月下独舞,月光如银，你在太液池边翩翩起舞。,舞姿曼妙绝伦,容貌,95,皇上在远处看得痴迷，当晚留宿。,"容貌+40;圣宠+100",你失足跌入湖中。,"体质-30;容貌-10",加入武术招式,体质,90,皇上赞你巾帼豪情。,"圣宠+60;体质+20",皇上觉得你太粗鲁。,"圣宠-20",1
2124,日常,抄写佛经,你被派去为死去的妃子抄经七日。,虔诚斋戒抄写,体质,85,皇上感念你仁厚。,"圣宠+40;声望+30",你累得晕倒在佛堂。,"体质-40",找人代笔抄写,心机,80,你成功偷懒。,"心机+20",被发现对死者不敬，罚去冷宫。,"死亡",0
2125,机遇,圣驾不适,皇上批阅奏章时眼睛干涩。,上前轻柔按摩,体质,90,皇上觉得你手法极佳。,"圣宠+50;体质-10",你手劲太大，按疼了皇上。,"圣宠-20",送上明目药膳,心机,85,皇上觉得你贴心。,"圣宠+40;心机+15",药膳太苦，皇上不爱。,"圣宠-15",1
2126,博弈,嫔妃生子,你的对手生下了皇子，圣宠正浓。,送去祝福贺礼,声望,85,你展现了大度。,"声望+30;心机+10",礼品被指含有让婴儿过敏的东西。,"死亡",暗中观察动向,心机,90,你发现了对方产子的隐情。,"心机+50",你被对方灭口。,"死亡",0
2127,日常,练习歌技,你在深夜对着宫墙唱歌。,唱法空灵高远,才情,95,皇上以为遇到了仙女降世。,"才情+50;圣宠+80",你被邻居指责扰民。,"声望-20",唱家乡的童谣,容貌,85,皇上想起了小时候，对你心生爱怜。,"圣宠+50;容貌+10",皇上觉得你没品味。,"圣宠-20",1
2128,死局,谋朝篡位,有朝臣密谋造反，想利用你给皇上下药。,假意答应并举报,心机,90,你救了江山社稷，直升贵妃。,"圣宠+200;声望+200",举报计划泄露，你被反贼先杀。,"死亡",断然拒绝被囚,声望,95,你保持了节操。,"声望+100",你被反贼直接灭口。,"死亡",0
2129,日常,整理御花园,你在园中修剪花木。,修剪出绝美造型,才情,90,皇上赞你有艺术天分。,"才情+30;圣宠+30",你不小心剪掉了皇上最爱的兰花。,"死亡",顺手采集朝露,心机,80,你为皇上泡了一杯灵动之茶。,"心机+20;圣宠+40",你被蚊子咬得满脸包。,"容貌-15",1
2130,机遇,皇上微服,皇上穿便装在宫外游玩归来，带了民间小吃。,表现得极其惊喜,心机,85,皇上觉得你没心机，很真实。,"圣宠+50;心机+10",皇上觉得你没见过世面。,"声望-15",劝皇上注意龙体,声望,90,皇上觉得你很贤惠。,"声望+40;圣宠+30",皇上觉得你扫兴。,"圣宠-40",1
2131,机遇,圣驾避雨,雷雨交加，皇上恰好路过你宫门口，进来避雨。,煮一壶姜茶暖身,心机,85,皇上在风雨中感受到了久违的家常温暖。,"圣宠+45;心机+15",姜茶太辣，皇上喝了一口便皱眉。,"圣宠-10",素手执伞相送,容貌,90,你雨中撑伞的倩影，成了皇上心中的画作。,"圣宠+60;容貌+10",你脚下滑倒，不仅自己摔了还带倒了皇上。,"体质-30;圣宠-50",1
2132,日常,临摹古画,你正在临摹一幅早已失传的《洛神图》。,加入自己的神韵,才情,95,皇上赞你笔下的洛神竟有几分你的影子。,"才情+40;圣宠+50",你把洛神画得过于妖艳，被指不端。,"声望-20",请皇上共同补笔,圣宠,90,两人共执一笔，情意绵绵。,"圣宠+80;才情+20",皇上嫌你画技太差，弄脏了他的御笔。,"圣宠-30",1
2133,博弈,被诬下毒,内务府分发的胭脂中混入了毁人容貌的毒药，且指向是你所为。,亲自试药自证,体质,90,你拼死吃下自证清白，皇上心疼不已，厚赐于你。,"圣宠+120;体质-40",你中毒太深，容颜尽毁且性命堪忧。,"死亡",分析药粉来源,心机,95,你通过药粉中独特的西域香气揪出了真凶。,"心机+50;声望+40",你被对方灭口，做成自裁假象。,"死亡",0
2134,日常,御花园摘花,你在采摘朝露时，遇到皇上正在怀念早逝的宠妃。,轻声吟诵安魂曲,才情,90,皇上在你的歌声中得到了真正的平静。,"才情+30;圣宠+50",皇上觉得你冒犯了故人。,"圣宠-40",默默跪在身后陪伴,声望,85,皇上转身看到你，心中泛起一丝温情。,"圣宠+35;声望+20",皇上觉得你碍眼，命你滚。,"圣宠-20",1
2135,死局,谋逆惊魂,你无意间在冷宫角落听到了大将军与内侍的谋反密谈。,立刻寻找禁卫军,体质,95,你飞奔报信阻止了宫变，立下盖世奇功。,"圣宠+200;声望+150",你在奔跑途中被乱箭射死。,"死亡",躲在暗处记下名单,心机,90,你掌握了足以动摇朝局的绝密名录。,"心机+80",你踩到枯枝发出响声，被当场灭口。,"死亡",0
2136,日常,宫中礼仪,太后突击检查各位小主的刺绣功底。,绣出一幅百鸟朝凤,才情,95,太后赞你技艺无双，赐你协理内务。,"声望+80;才情+40",你因紧张绣断了金线。,"声望-30",绣出一尊慈悲观音,心机,90,太后见你佛心虔诚，对你大加赞赏。,"声望+60;心机+30",太后觉得你虚伪。,"声望-20",0
2137,机遇,皇帝生辰,皇上寿宴，各宫争奇斗艳。,表演惊鸿剑舞,体质,90,你英气勃发，皇上当众赏你夜明珠。,"圣宠+100;体质+20",剑尖划破了舞池的地毯，被治失仪。,"声望-40",献上万寿无疆酒,心机,85,酒中加入了你特制的药膳，皇上龙精虎猛。,"圣宠+60;心机+20",酒里被对手下药，你成了弑君凶手。,"死亡",1
2138,日常,整理旧档案,你在卷宗里发现了一个关于皇上生母的惊天秘密。,将秘密带入棺材,心机,90,你因沉稳不言，反而得到了皇上的终身信任。,"心机+100;声望+20",你神情恍惚被皇上看出，由于知道太多被处死。,"死亡",利用秘密威胁对手,心机,90,你成功除掉了心腹大患。,"心机+60",对方拼死告发你窥探禁中秘事。,"死亡",0
2139,博弈,嫔妃联手,几名得宠的妃子联手排挤你，扣下了你的炭火。,去御花园冻伤偶遇,容貌,95,皇上见你冻得瑟瑟发抖，心碎之下严惩凶手。,"圣宠+80;容貌-10",你真的冻出了大病，且皇上根本没经过。,"体质-60",用最后的银子贿赂,心机,90,你拿回了炭火并反向收买了对方的人。,"心机+40",你变得一贫如洗。,"声望-20",0
2140,机遇,春日蹴鞠,皇上兴致大发，要你下场踢球。,展示惊人身法,体质,95,皇上被你的活力感染，连连叫好。,"圣宠+70;体质+30",你一球踢到了皇上脸上。,"死亡",在一旁巧妙解说,才情,90,皇上赞你谈吐风雅。,"才情+30;圣宠+30",皇上嫌你话多。,"圣宠-10",0
2141,日常,研习香道,你在调制一种名为“思帝乡”的奇香。,加入西域返魂香,心机,90,皇上闻到此香便如入幻境，唯你是从。,"圣宠+120;心机+30",皇上对香气过敏，引发旧疾。,"死亡",调制清淡冷香,容貌,90,皇上赞你气质清冷，不染尘埃。,"圣宠+50;容貌+20",皇上觉得这香味太索然无味。,"圣宠-20",1
2142,博弈,位分僭越,一个新入宫的常在穿着只有贵人才能用的正红色。,当场严厉训诫,声望,90,你维护了宫规，太后赞你稳重。,"声望+80;心机+20",对方后台极硬，你反被扣上欺压新人的帽子。,"声望-50",暗中剪坏她的衣服,心机,95,她在宴会上当众丢丑，被贬为庶人。,"心机+50",你被当场抓获。,"死亡",0
2143,机遇,圣上微恙,皇上偶感风寒，太医们都束手无策。,献上民间土方,心机,90,皇上服下后奇迹般痊愈。,"圣宠+100;声望+50",药不对症，皇上病情加重，你被治罪。,"死亡",衣不解带守候三日,体质,90,皇上醒来见到你的憔悴，深感你之赤诚。,"圣宠+80;体质-50",你累死在病榻前。,"死亡",1
2144,日常,修补孤本,皇上最爱的《诗经》残页被你意外修复。,恢复古籍原貌,才情,95,皇上引你为唯一的“知音”。,"圣宠+150;才情+60",你不小心弄花了古人的真迹。,"死亡",加入自己的批注,才情,90,你的见解让皇上醍醐灌顶。,"圣宠+100;才情+80",皇上觉得你狂妄自大。,"圣宠-50",1
2145,死局,后宫失火,你的寝宫突然起火，且门被反锁了。,拼死从狗洞爬出,体质,90,你虽狼狈但保住了性命，发现是人为放火。,"体质-30;心机+40",你被浓烟呛死。,"死亡",在大火中弹琴求救,才情,90,皇上被琴声吸引亲自冲入火海救你。,"圣宠+200;声望+100",你被活活烧死。,"死亡",1
2146,机遇,皇子哭闹,小皇子百日宴上大哭不止，众妃束手无策。,用草药香囊安神,心机,90,皇子瞬间止哭微笑，皇后对你感激不尽。,"声望+100;圣宠+50",皇子对草药过敏。,"死亡",唱起家乡的童谣,才情,95,皇子在你怀中睡着。,"圣宠+80;声望+40",你被嫌弃歌声太土。,"声望-30",0
2147,博弈,圣宠分配,皇上连坐了你三晚，引起了满宫嫉妒。,主动劝皇上去别处,心机,90,皇上赞你贤德，反而更离不开你。,"圣宠+150;声望+50",皇上真的走了，且很久没再回来。,"圣宠-100",霸占圣驾不放,容貌,95,你成了宫中唯一的宠妃。,"圣宠+200;容貌+30",你被太后以“妖妃”之名杖毙。,"死亡",1
2148,日常,整理御园,你在园中发现了一处极其适合避暑的凉亭。,引皇上前去消暑,心机,95,皇上赞你会享受，在此留宿数日。,"圣宠+80;心机+20",皇上在亭子里被毒虫叮咬。,"圣宠-50",自己私下享受,体质,85,你度过了一个愉快的夏天。,"体质+30",你被指责私占御园。,"声望-20",0
2149,机遇,月下论道,皇上最近迷上了炼丹求长生。,劝皇上珍重御体,声望,90,皇上听从了你的逆耳忠言，封你为贤妃。,"声望+150;圣宠+50",皇上觉得你阻碍他成仙，当场赐死。,"死亡",亲自学习炼丹陪伴,心机,90,你成了皇上求仙路上的唯一道友。,"圣宠+100;心机+50",你因为误食铅汞重金属中毒。,"体质-80;容貌-30",1
2150,机遇,边疆动乱,皇上因前方战败大发雷霆，欲亲征。,请求随军侍奉,体质,90,皇上赞你有胆识，带你体验塞外风光。,"圣宠+150;体质-50",你被皇上觉得是在添乱。,"圣宠-40",作画讽刺敌军,才情,95,皇上见画大笑，压力全消。,"才情+50;圣宠+80",画作落入敌手，被指通敌。,"死亡",1
2151,日常,种植药草,你在后院种下了一些能延年益寿的灵芝。,献给皇上服用,声望,95,皇上神清气爽，直接晋你为贵人。,"圣宠+100;声望+100",皇上吃完上火流鼻血。,"圣宠-30",留着自己服用,体质,90,你感觉年轻了十岁。,"体质+50;容貌+20",药性太猛。,"体质-20",0
2152,博弈,太后生辰,你需要准备一份最特别的贺礼。,抄写万福图,才情,90,太后将其挂在佛堂。,"声望+80;才情+40",你写错了福字。,"声望-50",亲自排演祝寿舞,容貌,90,皇上在宴上对你惊为天人。,"圣宠+120;容貌+40",你跳舞时踩到了裙摆。,"声望-30",0
2153,机遇,皇帝噩梦,皇上梦见山河破碎，惊醒后痛哭。,温柔抱住并共绘江山,才情,95,皇上在你身上找到了重建山河的力量。,"圣宠+200;心机+50",皇上觉得你窥探他的恐惧。,"死亡",跪地请求分担忧愁,声望,90,皇上觉得你很体贴。,"声望+50;圣宠+40",皇上让你走开。,"圣宠-20",1
2154,日常,修剪花木,你正在修剪皇上最爱的墨兰。,修剪出孤高之感,才情,90,皇上赞你有君子之风。,"圣宠+60;才情+30",兰花被你剪死了。,"死亡",将落叶收集制茶,心机,90,皇上喝到了最醇厚的兰花香。,"心机+30;圣宠+50",皇上闹肚子。,"体质-20",1
2155,死局,鸩酒之灾,你被诬陷私通，皇上将鸩酒放在你面前。,平静喝下并致辞,心机,90,皇上最后一刻察觉你是被冤枉的，紧紧抱住你。,"圣宠+300;声望+100",你真的死了。,"死亡",指认现场疑点,心机,95,你冷静的头脑救了你的命。,"心机+80;声望+50",皇上已经疯魔，不听解释。,"死亡",0
2156,机遇,秋夜观星,你在夜空下为皇上讲解牛郎织女。,借星象隐喻情深,才情,95,皇上发誓绝不负你。,"圣宠+150;才情+40",皇上觉得你是在要位分。,"圣宠-30",展示自制的浑天仪,心机,90,皇上惊叹你的博学。,"心机+50;圣宠+80",浑天仪炸了。,"体质-30",1
2157,日常,刺绣龙旗,皇上亲征前要你绣一杆帅旗。,用自己的头发绣入,心机,95,皇上带着帅旗所向披靡，称你是他的守护神。,"圣宠+200;声望+100",你被指控下蛊。,"死亡",追求极致美感,才情,90,帅旗成了艺术品。,"声望+50;才情+40",你因劳累双目失明。,"容貌-50;体质-50",0
2158,博弈,新人截胡,一个新来的答应抢走了皇上本该去你那里的轿辇。,拦住圣驾告状,声望,90,皇上惩罚了新人，亲自牵你回宫。,"圣宠+100;声望+50",皇上觉得你心胸狭窄。,"圣宠-60",在必经之路弹琴,才情,95,皇上中途下轿，弃她而来。,"圣宠+120;心机+40",琴声太凄凉，皇上加速离开。,"圣宠-30",1
2159,机遇,岁末分封,皇上要在跨年之夜晋升一名嫔妃。,展示一年来的功绩,声望,90,你名至实归，直接封为贵人。,"圣宠+100;声望+200",皇上觉得你太功利。,"声望-50",陪伴皇上守岁不求名分,容貌,90,皇上感动于你的淡泊，额外加封。,"圣宠+150;容貌+20",你睡着了。,"圣宠-10",1
