剧情ID,剧情类型,标题,正文,选项1,选项1判定属性,选项1门槛,选项1成功文案,选项1成功效果,选项1失败文案,选项1失败效果,选项2,选项2判定属性,选项2门槛,选项2成功文案,选项2成功效果,选项2失败文案,选项2失败效果,是否侍寝
1001,日常,御花园除草,今日阳光毒辣，你被分派去御花园最偏僻的角落除草，那里蛇虫出没。,低头勤恳干活,体质,30,你虽然晒得脱皮，但差事完成得极好，姑姑赏了你。 ,体质+5;声望+5,你因中暑晕倒在花丛中，被克扣了例银。,体质-15;声望-5,偷偷在树下乘凉,心机,40,你巧妙躲开了巡视，还偷听到了宫人的私语。,心机+10;体质+2,你被巡逻太监抓个正着，罚跪三个时辰。,体质-25;声望-10,0
1002,博弈,丢失的金钗,同屋的小玲诬陷你偷了她的金钗，带人要在你床铺下搜查。,任由她们搜查,心机,45,你早已察觉并将金钗藏入小玲被褥中，反将一计。,心机+15;声望+10,你被搜出假赃物，百口莫辩被送往慎刑司。,体质-30;声望-20,大吵大闹理论,声望,40,你声势惊人引来姑姑，最终不了了之。,声望+10;心机-5,你被认为居心叵测，挨了掌嘴。,体质-10;声望-15,0
1003,机遇,圣驾路过,你在运送浆洗衣服时，不小心撞见了皇上在凉亭小憩。,屏息悄悄退下,声望,30,你进退有度，并未惊动圣驾，平安离开。,声望+5,你惊慌跌倒打翻了木桶，惊扰龙颜被罚。,体质-15;声望-10,借机展现才艺,才情,65,皇上被你的歌声吸引，多看了你两眼。,才情+10;圣宠+20,皇上觉得你心机深重，命人将你撵走。,圣宠-20;声望-15,0
1004,死局,深井惊魂,深夜，你路过枯井听到有人在密谋毒害高位妃嫔，对方发现了你！,迅速跪地求饶,心机,55,你靠着机敏的言语暂时骗过了对方，捡回一命。,心机+20;声望+5,对方为了灭口，当场将你勒死。,死亡,拼命向外奔逃,体质,50,你靠着灵活的身法成功甩掉了追兵。,体质+5;心机+10,你被追上推入冷宫枯井中。,死亡,0
1005,差事,贵人送礼,你被派往给宠妃送一尊贵重的珊瑚摆件，路滑难行。,稳扎稳打慢行,体质,45,虽然迟了些，但东西完好无损送到。,体质+5;声望+5,你脚下一滑撞碎了珊瑚，被重罚。,体质-40;声望-30,抄近路通过,心机,55,你利用对地形的熟悉快速送到，得了赏赐。,心机+15;声望+10,你在近路撞到了其他主子，被指冲撞。,声望-20;体质-10,0
1006,日常,深夜针线,为了补齐被克扣的份例，你不得不在昏暗的灯下熬夜赶制绣品。,苦练刺绣技巧,才情,40,你的绣工突飞猛进，绣品卖了好价钱。,才情+15;心机+5,你的眼睛因疲劳过度，视力大损。,容貌-15;体质-5,快速敷衍交差,体质,35,你早早睡下，身体得到了休息。,体质+10,绣品太烂被退回，还被罚了苦役。,体质-15;声望-5,0
1007,博弈,领班的刁难,领班太监垂涎你的容貌，暗示你晚上去他的偏房，否则没你好果子吃。,假意答应周旋,心机,50,你设法引来其他宫女，让他不敢下手。,心机+15;声望+5,你被他强行扣下受了惊吓。,体质-20;容貌-10,言辞断然拒绝,声望,60,他被你正气所震，暂时收敛了恶行。,声望+15;心机-5,他恼羞成怒，将你调往辛者库干重活。,体质-30;声望-20,0
1008,死局,谋逆证据,你在御花园假山石缝里发现一张写满朝臣名字的密信，似乎是谋逆名单。,拼死呈给皇上,体质,100,你立下惊天大功，皇上对你印象深刻。,圣宠+70;声望+40,你在御书房外被乱箭射死。,死亡,当做没看见烧毁,心机,45,你保住了一条小命，但内心惶惶不可终日。,心机+20,你因身上有火油味被同党发现灭口。,死亡,0
1009,日常,御膳房帮工,御膳房人手不足，你被调去洗一整天的盘子，手被水泡得发白。,勤恳工作不怨,体质,50,总管觉得你手脚麻利，赏了你一碗肉汤。,体质+15;声望+5,你打破了一叠精美的瓷盘，挨了鞭子。,体质-25;声望-10,暗中偷吃糕点,心机,45,你尝到了从未见过的美味，体力恢复。,体质+10;心机+5,你被偷吃被抓，被关进柴房禁食三日。,体质-35,0
1010,日常,宫规考核,管事姑姑今日突击检查宫规，若背不出来要罚去洗马厩。,对答如流,才情,40,姑姑赞你是个有心的，给了你两块点心。,才情+10;声望+5,你因紧张记错了条目，被罚苦力。,体质-10;声望-5,贿赂检查宫女,心机,45,对方收了你的银子，替你遮掩过去。,心机+10,对方收了钱却反悔，告发了你。,声望-20;体质-10,0
1011,日常,雨中取物,主子要你在暴雨中去内务府取新的炭火。,拼命护住炭火,体质,45,炭火未湿，主子赏了你几件旧衣服。,体质-5;声望+10,你受了风寒，发了三日高烧。,体质-25,躲雨延迟送达,心机,50,你没淋湿，但也挨了主子的骂。,体质+5;声望-5,你被扣了半年例银。,声望-20,0
1012,死局,毒酒疑云,你被指派送一壶酒给刚被打入冷宫的妃子，你闻到酒里有鹤顶红的味道。,偷偷换成清水,心机,60,你救了那位妃子，也保全了自己名声。,心机+20;声望+10,你被暗中监视的人发现，当场被毒杀。,死亡,硬着头皮送去,体质,40,妃子死后，你被当做杀人凶手抵罪。,死亡,你被灭口，做成自缢假象。,死亡,0
1013,机遇,御园抚琴,你在帮贵人取琴时，见四周无人，忍不住拨动了几下弦。,弹奏一曲古调,才情,60,路过的皇上赞你琴声凄婉，驻足良久。,才情+10;圣宠+25,你因心慌弹错音节，惊扰了圣驾。,圣宠-10;声望-10,赶紧收手离开,心机,40,你没有引起任何麻烦。,心机+5,你被路过的宫女指责乱碰御物。,声望-15,0
1014,日常,浆洗苦差,冬日水冷刺骨，你得洗完整个宫室的床单。,咬牙坚持洗完,体质,55,你的勤劳被看在眼里，调到了轻省处。,体质+10;声望+10,你的手生了严重的冻疮，难以愈合。,体质-20;容貌-5,偷懒应付了事,心机,45,你早早收工，没被发现。,体质+5,床单没洗干净被主子责罚罚跪。,体质-20;声望-10,0
1015,博弈,同室争风,同寝宫女因为你的容貌出众，经常在你的胭脂里掺沙子。,暗中换掉胭脂,心机,50,你让她自食其果，毁了自己的妆容。,心机+15;容貌+5,你被发现换药，反被诬陷害人。,声望-20;心机-10,当面拆穿此事,声望,55,她被你的气势吓到，不敢再犯。,声望+15;心机+5,没人信你，你被大家孤立。,声望-20,0
1016,日常,雪地寻梅,主子想要最红的那支梅花，长在假山最高处。,努力攀爬摘取,体质,50,你摘到了梅花，主子大喜。,体质+5;声望+15,你从假山上滑落，摔伤了腿。,体质-30;容貌-5,花钱找太监帮,心机,45,你省了力气也办好了事。,心机+10;体质+5,你被勒索了所有积蓄。,心机-10;声望-5,0
1017,日常,猫惊龙驾,皇上的爱猫突然受惊冲向你，周围人惊呼不已。,温柔安抚灵猫,心机,55,猫儿在你怀中安静下来。,心机+10;圣宠+15,你被猫儿抓破了手。,体质-10,惊吓尖叫躲避,体质,40,你躲开了，猫儿冲向了皇上。,声望-20,猫儿抓伤了皇上，你被处死。,死亡,0
1018,差事,夜半巡灯,你被派去检查宫墙下的宫灯是否熄灭，四周阴森恐怖。,提灯仔细检查,体质,40,你发现了一处隐患，受了褒奖。,体质+5;声望+10,你被假山后的野猫吓掉魂。,体质-10,躲在角落偷懒,心机,45,你睡了个好觉。,体质+10,一处宫灯着火引起混乱，你受罚。,声望-30;体质-20,0
1019,机遇,御膳甜点,御膳房多出一碗燕窝羹，总管见你乖巧递给了你。,诚惶诚恐谢赏,声望,40,你补了身体，也结交了总管。,体质+10;声望+5,你被认为贪嘴，坏了名声。,声望-10,拿去孝敬姑姑,心机,55,姑姑对你大为改观，多加提拔。,心机+15;声望+10,姑姑觉得你不怀好意，怕有毒。,声望-15,0
1020,日常,主子礼佛,你随主子去寺庙祈福，要在蒲团旁跪诵三个时辰。,虔诚跪诵不休,体质,60,你的诚心感动了主子，地位提升。,体质+10;声望+15,你的膝盖严重淤青，几日走不了路。,体质-25,暗中挪动放松,心机,45,你没那么累，躲过了检查。,体质+5,被太后发现你不诚，掌嘴二十。,体质-15;声望-25,0
1021,日常,绣坊竞争,绣坊要选一名宫女去给皇上缝制龙袍，机会难得。,展示绝妙针法,才情,60,你脱颖而出，得到了圣颜亲见的机遇。,才情+20;圣宠+20,你因压力过大绣歪了龙纹，受罚。,才情-10;声望-20,推脱不参与,声望,45,你维持了低调。,心机+5,你被当做平庸之辈，分派苦活。,体质-10,0
1022,死局,谋害皇嗣,你撞见一名宫女正往小皇子的粥里撒粉末，对方发现了你。,大声呼救招人,体质,50,侍卫赶到抓获凶手，你救了皇子。,圣宠+50;声望+30,你被对方反咬一口，说你才是凶手。,死亡,装作没看见路过,心机,50,你保住了性命，但良心备受折磨。,心机+10,凶手怕你告密，当晚将你毒死。,死亡,0
1023,日常,宫墙冬雪,你在清扫宫墙积雪时，被几个顽皮的小太监推倒。,忍气吞声走开,心机,40,你避免了冲突。,心机+5,你被他们以此为乐，经常戏弄。,声望-10,严厉训斥对方,声望,55,他们被你吓住，不敢再犯。,声望+15,他们联手告你欺负年幼太监。,体质-15;声望-15,0
1024,机遇,月下独舞,月光如水，你一时兴起在御花园空地舞了一段。,舞姿曼妙多姿,容貌,45,皇上在远处看得入神，赐下赏赐。,容貌+10;圣宠+35,你被路过的娘娘看到，骂你狐媚惑主。,圣宠-20;声望-20,简单舒展身体,体质,40,你觉得身体轻便了许多。,体质+5,你被管事抓到半夜不睡觉，罚跪。,体质-15,0
1025,日常,替主领赏,主子得了皇上的赏赐，命你去内务府领回。,清点核对清楚,心机,50,你发现了内务府克扣，成功要回。,心机+15;声望+10,你被内务府糊弄，带回了残次品。,声望-20;心机-10,顺手牵羊私藏,心机,65,你得了一件金饰。,心机+20,被当场抓获，扭送慎刑司。,体质-50;声望-30,0
1026,日常,御园修枝,修剪花枝时，你不小心被尖刺扎破了手指。,忍痛继续干活,体质,40,你按时完成，得了姑姑称赞。,体质+5;声望+5,伤口感染，你病了半个月。,体质-20,借口寻找草药,心机,50,你不仅治了伤，还躲了活。,心机+10;体质+5,你被认为是偷懒，加倍罚工。,体质-20,0
1027,机遇,皇帝笔墨,皇上写完字后离去，留下一叠废纸，你被派去清理。,临摹圣上真迹,才情,65,你的字迹突飞猛进，得了一份灵气。,才情+20,你被指责私自临摹御笔，大逆不道。,声望-30,小心收好焚毁,声望,45,你做事稳重，得了提拔。,声望+10,你被纸边割破了手。,体质-5,0
1028,日常,宫中传闻,你听说某位妃子即将复宠，大家都在议论。,加入议论讨好,心机,45,你提前站队，得了一些好处。,心机+10;声望+5,你传错话被当做长舌妇，掌嘴。,体质-10;声望-20,闭嘴专心干活,声望,50,你避开了后宫争斗。,声望+10,你被认为孤傲，不合群。,声望-10,0
1029,日常,冷宫送饭,你被派往给废妃送饭，那里终年不见阳光。,耐着性子听她讲,才情,50,她教了你一些宫中的生存秘闻。,心机+20;才情+10,你被对方发疯抓伤了脸。,容貌-20;体质-10,放下饭碗赶紧走,体质,35,你完成了差事。,体质+5,你在阴森的巷子里迷了路。,体质-10,0
1030,机遇,皇子落水,你路过池塘，发现一名小皇子不慎落水，周围无侍卫。,奋不顾身救人,体质,45,你救了龙裔，皇上大赏。,体质+10;圣宠+40,你没能救起皇子，自己也险些淹死。,体质-40;圣宠-50,高声呼喊侍卫,心机,50,侍卫赶到救起皇子，你亦有功。,声望+20;圣宠+15,你呼喊太慢，延误了时机。,声望-30,0
1031,日常,浆洗比拼,浆洗房举行比赛，赢了的人可以调去御衣局。,展示过人速度,体质,60,你干得又快又好，成功调职。,体质+10;声望+15,你累得腰酸背痛，也没赢。,体质-15,用技巧洗去污渍,心机,55,你靠着特制的皂角赢了。,心机+15;声望+10,皂角坏了衣服，你被重罚。,声望-30;体质-20,0
1032,死局,巫蛊之物,你在枕头下发现一个写着皇上名讳的扎针木偶！,深夜埋到对手床底,心机,60,你成功反杀对手。,心机+30,你埋的时候被抓个正着。,死亡,直接交给管事姑姑,声望,50,姑姑保下了你。,声望+20,你被当做施咒者抓捕。,死亡,0
1033,日常,替主挡茶,主子被贵妃刁难，一杯热茶直接泼了过来。,主动上前挡住,体质,65,主子感念你忠心，赐了药和钱。,声望+30;心机+10,你被烫伤了容颜，无法见人。,容貌-30;体质-20,拉主子躲开,心机,60,主子没事，但贵妃更火了。,心机+15;圣宠-10,主子摔倒了，你被乱棍打。,体质-40,0
1034,日常,炭火被克扣,由于你没给管事好处，今年的炭火少了一半。,去找管事讲理,声望,55,你拿回了属于自己的份例。,声望+10,你被管事记恨，日子更难过。,体质-15;声望-10,用自己的首饰贿赂,心机,50,你换来了温暖的炭火。,心机+10;体质+10,你的首饰被吞，炭火还是没给。,心机-15,0
1035,机遇,圣驾回宫,皇上狩猎归来，你正好在路旁迎接。,保持优雅跪姿,容貌,65,皇上在马背上多看了你一眼。,容貌+10;圣宠+20,你因跪得太久重心不稳摔倒。,圣宠-10;声望-15,偷偷看皇上一眼,心机,55,你记住了皇上的喜好。,心机+15,你被侍卫指责窥视圣颜，掌嘴。,体质-10;声望-10,0
1036,日常,御花园迷路,你在御花园迷路，走入了一片荒废的偏殿。,仔细观察找路,心机,45,你平安走出，还捡到了一个钱袋。,心机+10;体质+5,你在里面绕了半天，错过点名。,声望-15,坐下休息等待,体质,35,你保存了体力。,体质+5,你被巡逻当成私通的宫女抓住。,声望-40;体质-30,0
1037,日常,同僚生病,同屋的宫女得了重病，没人敢照顾她。,悉心照料对方,体质,50,她康复后成了你的至交好友。,声望+20;心机+10,你也染上了病，险些丧命。,体质-40,将其隔离报告,心机,55,你保护了自己，但也背了骂名。,心机+10;声望-15,你被认为刻薄寡恩，被排挤。,声望-20,0
1038,死局,刺客突现,深夜你在长廊走动，撞见一名黑衣刺客！,大声呼喊抓贼,体质,60,你引来禁卫军，刺客被抓。,圣宠+50;声望+40,你被刺客一剑穿心。,死亡,装作没看见倒下,心机,55,刺客以为你晕了，放过了你。,心机+20,刺客为了保险，补了一刀。,死亡,0
1039,日常,贵妃赏花,贵妃在园中赏花，命你在一旁摇扇。,稳重持扇不乱,体质,50,贵妃赞你是个稳重的，赏了花红。,体质+5;声望+10,你的扇子扇偏了，吹乱了发髻。,声望-20;体质-10,说好听话讨好,才情,60,贵妃被你哄得眉开眼笑。,才情+15;声望+10,贵妃觉得你油嘴滑舌，罚掌嘴。,体质-10;声望-15,0
1040,日常,修补古籍,图书馆有一批古籍被虫蛀，需要细心宫女修补。,展示精湛手艺,才情,65,你修补得天衣无缝，得了重赏。,才情+25;声望+10,你不小心撕破了孤本，被关禁闭。,才情-10;体质-20,敷衍粘补,心机,45,你快速完成了任务。,体质+5,被发现修补粗糙，扣了份例。,声望-15,0
1041,机遇,圣上听戏,皇上在梨园看戏，后台少个端茶的。,稳步送茶圣前,容貌,40,皇上赞你手如柔荑，目光流连。,容貌+10;圣宠+30,你被戏子绊倒，茶水溅了圣袍。,圣宠-50;体质-30,低头不看圣颜,声望,50,皇上觉得你懂规矩。,声望+15;圣宠+5,你被大太监嫌弃木讷。,声望-10,0
1042,日常,宫中冬至,冬至吃饺子，你被分配去包几千个饺子。,努力包得精美,体质,55,你的饺子被送上了御桌，主子大悦。,体质+5;声望+20,你累得手抽筋，饺子全都散了。,体质-20;声望-10,趁机偷吃几个,心机,40,你填饱了肚子。,体质+10,你被抓到偷吃，罚去洗厕所。,声望-30;体质-20,0
1043,日常,搬运冰块,夏日炎炎，你得搬运沉重的冰块去各宫。,展示过人体力,体质,65,冰块未化，你得了不少赏钱。,体质+10;声望+10,你被冻得关节酸痛，落了病根。,体质-30,找小太监搭伙,心机,55,你轻便地完成了工作。,心机+15,你被指责男女私通，受了重罚。,声望-40;体质-20,0
1044,日常,御园观鱼,你在池塘边喂鱼，偶遇某位落寞的小主。,耐心开导对方,心机,60,她以后复宠，成了你的靠山。,心机+20;声望+15,她觉得你卑微，不配跟她说话。,声望-15,嘲讽对方落魄,声望,45,你在宫女中出了气。,心机+5;声望-10,她突然复宠，把你打入冷宫。,体质-50;死亡,0
1045,死局,谋逆密谈,你躲在假山后偷懒，竟听到了大将军谋反的计划！,拼命逃离现场,体质,100,你成功逃脱并报信，立了大功。,圣宠+80;声望+60,你踩到了枯枝发出响声，被杀。,死亡,原地不动屏息,心机,65,你躲过了搜查，保住了命。,心机+30,你因为太紧张咳嗽了一声。,死亡,0
1046,日常,刺绣屏风,主子要你绣一个落地大屏风，工期极紧。,昼夜不分赶工,体质,60,你按时完成了，屏风惊艳全宫。,体质-10;声望+25,你眼睛累瞎了，被主子嫌弃。,容貌-30;体质-20,找同僚代工,心机,55,你轻松交了差。,心机+10,代工者告发了你，你被赶走。,声望-30;体质-10,0
1047,日常,整理库房,内务府库房杂乱，你被派去整理。,分类整理有序,心机,50,你找到了不少遗落的好物自用。,心机+20;体质+5,你被灰尘呛得大病一场。,体质-15,偷拿珍贵药材,心机,40,你偷偷换了钱，属性大涨。,心机+30;声望-20,被当场抓获，断了双手。,体质-60;死亡,0
1048,机遇,御园雪景,雪后初晴，皇上在园中赏雪，你正在扫地。,展示傲雪红装,容貌,50,皇上赞你如雪中寒梅，倾心不已。,容貌+20;圣宠+50,皇上觉得你在这种地方打扮，不安分。,圣宠-30;声望-20,低头勤恳扫雪,体质,45,皇上赞你本分，赐了冬衣。,体质+5;圣宠+10,你扫的雪飞到了皇上脚上。,声望-20;圣宠-10,0
1049,日常,学做茶道,内廷选拔宫女学习茶道，为皇上服务。,苦修茶道技巧,才情,65,你的茶艺炉火纯青，被选入御前。,才情+30;声望+20,你烫伤了手，失去了机会。,体质-15,利用容貌入选,容貌,45,你凭美色进去了，但根基不稳。,容貌+10;圣宠+15,考官觉得你轻浮，直接黜落。,声望-20,0
1050,死局,皇帝暴怒,皇上因朝事大发雷霆，你此时端茶进去。,跪下承受怒火,心机,65,皇上见你沉稳，怒气消了一半。,心机+20;圣宠+20,皇上随手一掷，金杯砸死你。,死亡,试图言语劝慰,才情,60,你的一番话触动了皇上，转怒为喜。,才情+30;圣宠+50,皇上觉得你干政，当场赐死。,死亡,0



